valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
1,16,3,4,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,3,4,NaN,NaN,NaN,NaN,NaN,NaN
1,28.1,3,4,0.0437305431089566,730.155500611109,266.883443230568,6.1686,15,21.1686
1,32,3,4,0.0301331634808227,795.316998650738,363.368201594009,6.192,15,21.192
1,4.93,4,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,4,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,4,1,NaN,NaN,NaN,NaN,NaN,NaN
1,16,4,1,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,4,1,0.15854551230172,244.606503347206,149.950722826932,8.1832,3.75,11.9332
1,28.1,4,1,0.16568500794496,226.734059925287,104.688371623837,8.2248,3.75,11.9748
1,32,4,1,0.253539662210239,220.959190372397,82.8534178291208,8.256,3.75,12.006
1,4.93,4,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,4,2,NaN,NaN,NaN,NaN,NaN,NaN
1,12,4,2,NaN,NaN,NaN,NaN,NaN,NaN
1,16,4,2,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,4,2,0.0537778967203945,476.043926915607,223.730896167754,8.1832,7.5,15.6832
1,28.1,4,2,0.0549631004844538,452.25450274233,211.389626536439,8.2248,7.5,15.7248
1,32,4,2,0.203683761106046,441.171150386017,182.410587490739,8.256,7.5,15.756
1,4.93,4,3,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,4,3,NaN,NaN,NaN,NaN,NaN,NaN
1,12,4,3,NaN,NaN,NaN,NaN,NaN,NaN
1,16,4,3,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,4,3,0.0368019308530531,680.022274337828,293.915887088534,8.1832,11.25,19.4332
1,28.1,4,3,0.0389021712629463,556.557092307516,215.651876677943,8.2248,11.25,19.4748
1,32,4,3,0.142646306040188,649.693769871686,174.210100046038,8.256,11.25,19.506
1,4.93,4,4,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,4,4,NaN,NaN,NaN,NaN,NaN,NaN
1,12,4,4,NaN,NaN,NaN,NaN,NaN,NaN
1,16,4,4,NaN,NaN,NaN,NaN,NaN,NaN
1,22.9,4,4,0.031522962028697,788.841001648803,341.761523307183,8.1832,15,23.1832
1,28.1,4,4,0.0325946445549217,565.916365288597,211.031607645017,8.2248,15,23.2248
1,32,4,4,0.0947693332248634,655.915206764008,181.240526528463,8.256,15,23.256
1,4.93,5,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,5,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,5,1,NaN,NaN,NaN,NaN,NaN,NaN
1,16,5,1,2.14465154244024,112.167995655897,33.6538497882837,10.16,3.75,13.91
1,22.9,5,1,0.175943134047293,225.82909902473,102.480729811591,10.229,3.75,13.979
1,28.1,5,1,0.356472893922859,217.16721613112,96.0294982818434,10.281,3.75,14.031
1,32,5,1,0.364154001400066,212.35784127782,105.194519275038,10.32,3.75,14.07
1,4.93,5,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,5,2,NaN,NaN,NaN,NaN,NaN,NaN
1,12,5,2,NaN,NaN,NaN,NaN,NaN,NaN
1,16,5,2,2.28312953301929,112.167995655898,40.000563465724,10.16,7.5,17.66
1,22.9,5,2,0.077609450331807,450.649696915698,203.217626484914,10.229,7.5,17.729
1,28.1,5,2,0.258238863866466,433.689412486367,183.683452664159,10.281,7.5,17.781
1,32,5,2,0.261688495332482,424.238527937453,189.469986539949,10.32,7.5,17.82
1,4.93,5,3,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,5,3,NaN,NaN,NaN,NaN,NaN,NaN
1,12,5,3,NaN,NaN,NaN,NaN,NaN,NaN
1,16,5,3,2.32991234144055,112.167995655946,44.4032319894634,10.16,11.25,21.41
1,22.9,5,3,0.0490266710170937,569.619472788146,195.848864105481,10.229,11.25,21.479
1,28.1,5,3,0.174132795324762,649.642362565536,266.267405493278,10.281,11.25,21.531
1,32,5,3,0.196742269591738,635.493986269094,254.525205503696,10.32,11.25,21.57
1,4.93,5,4,NaN,NaN,NaN,NaN,NaN,NaN
