valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
1,22.9,3,4,0.0199170732697262,515.47861910492,216.067357091048,6.1374,15,21.1374
1,28.1,3,4,0.0206724913369423,527.821989027156,160.956221434423,6.1686,15,21.1686
1,45.6,3,4,0.0432685710093876,756.437877585507,281.397102683288,6.2736,15,21.2736
1,4.93,4,1,5.12789414287611,154.405748198661,38.3155677715129,8.03944,3.75,11.78944
1,10.3,4,1,7.18349188055674,194.281159662786,120.232772403116,8.0824,3.75,11.8324
1,12,4,1,6.62066790249983,196.520012565967,123.690982093143,8.096,3.75,11.846
1,16,4,1,0.0399217285448122,199.364135959981,94.6340168714508,8.128,3.75,11.878
1,22.9,4,1,0.0939647462079852,192.300489079453,90.9587992880134,8.1832,3.75,11.9332
1,28.1,4,1,0.175292214018729,188.287926334684,81.785026879366,8.2248,3.75,11.9748
1,45.6,4,1,0.23999342560943,182.708160331411,104.271270971944,8.3648,3.75,12.1148
1,4.93,4,2,4.33619372336233,154.405748198664,42.5389125773674,8.03944,7.5,15.53944
1,10.3,4,2,1.80921493490546,251.72570632304,175.773297885464,8.0824,7.5,15.5824
1,12,4,2,1.07529759995459,263.713792950861,192.817676184513,8.096,7.5,15.596
1,16,4,2,0.0198428247747388,373.680163866455,164.609857778722,8.128,7.5,15.628
1,22.9,4,2,0.0293749182462921,382.095605379172,125.710375514242,8.1832,7.5,15.6832
1,28.1,4,2,0.0939528824957782,375.851242672466,136.570615456352,8.2248,7.5,15.7248
1,45.6,4,2,0.198456852890854,365.018759464636,197.007087701101,8.3648,7.5,15.8648
1,4.93,4,3,4.95234099367709,154.405748198663,45.6417554242744,8.03944,11.25,19.28944
1,10.3,4,3,0.283763159403706,369.111434462297,240.247860572124,8.0824,11.25,19.3324
1,12,4,3,0.239352683758067,393.743346613674,241.589967911801,8.096,11.25,19.346
1,16,4,3,0.0207776997332447,464.109665665629,191.507096756301,8.128,11.25,19.378
1,22.9,4,3,0.0117323253652222,513.72219624601,128.376801578732,8.1832,11.25,19.4332
1,28.1,4,3,0.0431945452459011,563.450358614072,184.274751556011,8.2248,11.25,19.4748
1,45.6,4,3,0.150171579245597,547.308139572347,291.363143893422,8.3648,11.25,19.6148
1,4.93,4,4,5.28280420983392,154.405748198665,47.3536960066079,8.03944,15,23.03944
1,10.3,4,4,0.0580773229607181,488.921641224914,273.234432545515,8.0824,15,23.0824
1,12,4,4,0.0534773925424168,522.58718084433,275.679150109028,8.096,15,23.096
1,16,4,4,0.0222072736962532,547.696081995539,204.590468024901,8.128,15,23.128
1,22.9,4,4,0.00940615165405348,562.568892941654,124.662824654975,8.1832,15,23.1832
1,28.1,4,4,0.0188536854179511,636.723821489602,179.125330755476,8.2248,15,23.2248
1,45.6,4,4,0.096975330003864,729.588548623581,361.508722730431,8.3648,15,23.3648
1,4.93,5,1,0.0177924282266498,245.484336570374,99.276396445634,10.0493,3.75,13.7993
1,10.3,5,1,2.86462902186264,188.342284047397,122.442632094471,10.103,3.75,13.853
1,12,5,1,2.2394138048009,189.448525893492,121.293411125346,10.12,3.75,13.87
1,16,5,1,0.0531122685583788,190.072435343757,92.178590870661,10.16,3.75,13.91
1,22.9,5,1,0.156389139996399,185.008846966668,81.4806282564959,10.229,3.75,13.979
1,28.1,5,1,0.212797256591746,182.993346702553,93.117567974619,10.281,3.75,14.031
1,45.6,5,1,0.252376727833063,179.378756821663,109.772108980599,10.456,3.75,14.206
1,4.93,5,2,0.00996425954739645,487.822164568683,137.120351386815,10.0493,7.5,17.5493
1,10.3,5,2,0.318555842032528,286.497895059563,169.867514237031,10.103,7.5,17.603
1,12,5,2,0.3240034160316,295.714523259757,173.266489757757,10.12,7.5,17.62
