valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
0.6,45.6,3,2,0.127886265779797,765.944044864872,197.683755891409,6.2736,7.5,13.7736
0.6,4.93,3,3,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,3,3,0.605121663064202,510.289978187688,310.251261350547,6.0618,11.25,17.3118
0.6,12,3,3,0.362166623878613,622.961356666144,296.795065678193,6.072,11.25,17.322
0.6,16,3,3,0.0636705921748727,315.389393363649,75.8701580348968,6.096,11.25,17.346
0.6,22.9,3,3,0.0762788636959172,420.583272426847,106.617885670638,6.1374,11.25,17.3874
0.6,28.1,3,3,0.088808408085509,503.150873538792,129.363833693716,6.1686,11.25,17.4186
0.6,45.6,3,3,0.127886260088723,765.944045434668,197.683748087021,6.2736,11.25,17.5236
0.6,4.93,3,4,NaN,NaN,NaN,NaN,NaN,NaN
0.6,10.3,3,4,0.509409191129362,591.900758921148,290.671066542224,6.0618,15,21.0618
0.6,12,3,4,0.36216667126206,622.961426801464,296.795087306579,6.072,15,21.072
0.6,16,3,4,0.0636705994256307,315.389402629199,75.8701412754742,6.096,15,21.096
0.6,22.9,3,4,0.076278903834209,420.583115312275,106.617931887277,6.1374,15,21.1374
0.6,28.1,3,4,0.0888084403147395,503.150859592096,129.363882196115,6.1686,15,21.1686
0.6,45.6,3,4,0.127886227688182,765.944036244849,197.683705208426,6.2736,15,21.2736
0.6,4.93,4,1,4.66253509822852,58.563981984285,28.5799303525311,8.03944,3.75,11.78944
0.6,10.3,4,1,0.393923699743573,360.682466112782,226.833039487121,8.0824,3.75,11.8324
0.6,12,4,1,0.358080419767824,384.698439055704,230.130308822701,8.096,3.75,11.846
0.6,16,4,1,0.0679387419036451,394.524429103482,98.3319181396077,8.128,3.75,11.878
0.6,22.9,4,1,0.130593351031092,495.489727587498,179.968983351624,8.1832,3.75,11.9332
0.6,28.1,4,1,0.175831956902324,550.349957568926,243.514683005271,8.2248,3.75,11.9748
0.6,45.6,4,1,0.253762309906635,534.600876102574,276.166311573113,8.3648,3.75,12.1148
0.6,4.93,4,2,5.78002733733114,58.8786205212411,33.4083565598429,8.03944,7.5,15.53944
0.6,10.3,4,2,0.200844690334691,550.364363724461,237.12098747124,8.0824,7.5,15.5824
0.6,12,4,2,0.192799619011787,588.793571034151,242.136153277657,8.096,7.5,15.596
0.6,16,4,2,0.0679346748394791,394.512368686188,98.3250766261389,8.128,7.5,15.628
0.6,22.9,4,2,0.0940592387271403,536.312315038576,143.117528654749,8.1832,7.5,15.6832
0.6,28.1,4,2,0.115847392897118,640.762648728223,180.768333970629,8.2248,7.5,15.7248
0.6,45.6,4,2,0.200528697034068,955.534164057858,315.849388424545,8.3648,7.5,15.8648
0.6,4.93,4,3,6.05455813214154,64.9917135767281,35.4734422629299,8.03944,11.25,19.28944
0.6,10.3,4,3,0.199787679144567,550.368055591879,235.955029727675,8.0824,11.25,19.3324
0.6,12,4,3,0.192799605963192,588.793673372714,242.136177515556,8.096,11.25,19.346
0.6,16,4,3,0.067934832997624,394.512655366535,98.3253817570199,8.128,11.25,19.378
0.6,22.9,4,3,0.0940592441851744,536.312334761776,143.117542619937,8.1832,11.25,19.4332
