motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost
10.3,4,1,0.326213173040364,360.682296995335,267.433575800979,8.0824,4.375
12,4,1,0.300458810372985,384.69769283556,278.614825642691,8.096,4.375
16,4,1,0.0855743264083577,398.344698059975,170.77582182012,8.128,4.375
22.9,4,1,0.143330889100423,500.804180441173,277.339610953497,8.1832,4.375
28.1,4,1,0.177952763554743,550.361988176829,344.255280692581,8.2248,4.375
45.6,4,1,0.227597502273886,534.569631911985,373.977739200931,8.3648,4.375
4.93,4,2,5.62328893273189,69.9624921159053,38.3913471096742,8.03944,8.75
10.3,4,2,0.183808718913786,551.801452591598,286.557571247919,8.0824,8.75
12,4,2,0.179184906369572,590.458179156556,296.559580926809,8.096,8.75
16,4,2,0.0856325234813576,398.464078004561,170.018432031363,8.128,8.75
22.9,4,2,0.120105997446437,544.117751505663,250.975635956936,8.1832,8.75
28.1,4,2,0.149153683100457,655.474850029034,318.54193975189,8.2248,8.75
45.6,4,2,0.297053101058958,969.966880111039,620.342860165935,8.3648,8.75
4.93,4,3,5.92994860106826,69.9624921159955,40.9432529715342,8.03944,13.125
10.3,4,3,0.182824215203254,551.796537547808,284.673420115518,8.0824,13.125
12,4,3,0.180453666211099,590.474408308428,297.838298089744,8.096,13.125
16,4,3,0.0857033246619216,398.380240375533,170.627543814084,8.128,13.125
22.9,4,3,0.121958935699262,544.107205855139,252.985220537734,8.1832,13.125
28.1,4,3,0.147421262158512,655.37892282427,311.321396621957,8.2248,13.125
45.6,4,3,0.22963106935225,1006.63040680619,497.531520878786,8.3648,13.125
4.93,4,4,6.17890555081565,69.9624921159049,42.4084408433126,8.03944,17.5
10.3,4,4,0.186689669502835,551.778941676669,291.239917384665,8.0824,17.5
12,4,4,0.18000475819242,590.442070565662,298.059877372889,8.096,17.5
16,4,4,0.0836705166257812,398.356716135071,169.469713927409,8.128,17.5
22.9,4,4,0.117177664778177,544.127366015665,247.45239521856,8.1832,17.5
28.1,4,4,0.146699995558991,655.483065271333,313.81310483658,8.2248,17.5
45.6,4,4,0.23078900965902,1006.64448951631,496.911592857229,8.3648,17.5
4.93,5,1,0.0262449120855386,174.557113262422,57.6646756566203,10.0493,4.375
10.3,5,1,0.19769781039231,418.575965074535,259.740244674605,10.103,4.375
12,5,1,0.204274800834278,432.380309645344,271.275370007776,10.12,4.375
16,5,1,0.144306603845822,451.751944236339,280.731134544097,10.16,4.375
22.9,5,1,0.17716709588614,541.464973641694,338.231422556291,10.229,4.375
28.1,5,1,0.199761974786063,535.469081300395,344.41762811445,10.281,4.375
45.6,5,1,0.240225817387094,525.047055867271,376.884132168237,10.456,4.375
4.93,5,2,0.0264058824569261,174.565399075041,57.7607908010218,10.0493,8.75
10.3,5,2,0.139690095969395,548.331337775822,251.177391238195,10.103,8.75
12,5,2,0.149499602253278,596.25378229334,279.253733576627,10.12,8.75
16,5,2,0.11112459782881,481.527980191863,232.846174069349,10.16,8.75
22.9,5,2,0.146624840410534,662.808638566726,311.314989832399,10.229,8.75
28.1,5,2,0.188867501852779,797.2432140743,408.017329863694,10.281,8.75
45.6,5,2,0.331950837178645,1049.71247699868,703.100499004958,10.456,8.75
4.93,5,3,0.0263307025084043,174.557488130815,57.6831933133393,10.0493,13.125
10.3,5,3,0.132323073239096,548.265521656182,240.189337049041,10.103,13.125
12,5,3,0.146897907054403,596.494486109151,274.926167364761,10.12,13.125
16,5,3,0.110354193018857,481.555041706688,231.560403233149,10.16,13.125
22.9,5,3,0.145461820620437,662.541459174103,312.336266010834,10.229,13.125
28.1,5,3,0.176373034235551,797.237500885986,381.634355069989,10.281,13.125
45.6,5,3,0.274635010785478,1209.684919018,597.496317553603,10.456,13.125
